game_id,team1_id,team2_id,season,team1_seed,team2_seed,host_lat,host_long,team1_teamname,team2_teamname,team1_coach_id,team1_coach_name,team1_pt_school_ncaa,team1_pt_overall_ncaa,team1_pt_school_s16,team1_pt_overall_s16,team1_pt_school_ff,team1_pt_overall_ff,team1_pt_career_school_wins,team1_pt_career_school_losses,team1_pt_career_overall_losses,team1_pt_team_season_wins,team1_pt_team_season_losses,team1_pt_coach_season_wins,team1_pt_coach_season_losses,team1_pt_career_overall_wins,team2_coach_id,team2_coach_name,team2_pt_school_ncaa,team2_pt_overall_ncaa,team2_pt_school_s16,team2_pt_overall_s16,team2_pt_school_ff,team2_pt_overall_ff,team2_pt_career_school_wins,team2_pt_career_school_losses,team2_pt_career_overall_losses,team2_pt_team_season_wins,team2_pt_team_season_losses,team2_pt_coach_season_wins,team2_pt_coach_season_losses,team2_pt_career_overall_wins,team1_fg2pct,team1_fg3pct,team1_ftpct,team1_blockpct,team1_oppfg2pct,team1_oppfg3pct,team1_oppftpct,team1_oppblockpct,team1_f3grate,team1_oppf3grate,team1_arate,team1_opparate,team1_stlrate,team1_oppstlrate,team2_fg2pct,team2_fg3pct,team2_ftpct,team2_blockpct,team2_oppfg2pct,team2_oppfg3pct,team2_oppftpct,team2_oppblockpct,team2_f3grate,team2_oppf3grate,team2_arate,team2_opparate,team2_stlrate,team2_oppstlrate,team1_tempo,team1_adjtempo,team1_oe,team1_adjoe,team1_de,team1_adjde,team2_tempo,team2_adjtempo,team2_oe,team2_adjoe,team2_de,team2_adjde,team1_lat,team1_long,team2_lat,team2_long,team1_coaches_preseason,team2_coaches_preseason,team1_ap_preseason,team2_ap_preseason,team1_coaches_final,team2_coaches_final,team1_ap_final,team2_ap_final
2023_1104_1268,1104,1268,2023,1,8,33.525,-86.813,Alabama,Maryland,nate-oats-1,Nate Oats,3,6,1,1,0,0,90,41,84,29,5,29,5,186,kevin-willard-1,Kevin Willard,1,6,0,0,0,0,21,12,222,21,12,21,12,291,54.57842248,33.7944664,72.58687259,11.32323897,41.21132324,28.05970149,71.44846797,11.42339075,47.84869976,30.60758337,54.76694915,41.76904177,0.08151757228,0.09813765983,52.01401051,33.04093567,73.90599676,9.853420195,47.71986971,32.10526316,72.74549098,9.894921191,37.45892662,31.70189099,46.34146341,48.11443433,0.08278571596,0.07109281822,72.826,72.7469,110.862,116.097,91.7957,88.5548,64.5455,64.6104,109.025,114.136,97.5818,95.7662,33.2144,-87.545766,38.988607,-76.939704,19,,20,,5,,4,
2023_1104_1394,1104,1394,2023,1,16,33.525,-86.813,Alabama,TAM C. Christi,nate-oats-1,Nate Oats,3,6,1,1,0,0,90,41,84,29,5,29,5,186,steve-lutz-1,Steve Lutz,2,2,0,0,0,0,46,22,22,23,10,23,10,46,54.57842248,33.7944664,72.58687259,11.32323897,41.21132324,28.05970149,71.44846797,11.42339075,47.84869976,30.60758337,54.76694915,41.76904177,0.08151757228,0.09813765983,49.03169014,36.8852459,80.03327787,4.531085353,54.056902,33.28290469,69.0821256,8.626760563,34.93699885,41.05590062,55.7544757,55.79809004,0.1166096118,0.08854588782,72.826,72.7469,110.862,116.097,91.7957,88.5548,70.668,69.2573,109.864,107.367,102.144,107.592,33.2144,-87.545766,27.718601,-97.331933,19,,20,,5,,4,
2023_1113_1305,1113,1305,2023,11,11,39.7594,-84.1917,Arizona St,Nevada,bobby-hurley-1,Bobby Hurley,3,4,0,0,0,0,140,112,132,22,12,22,12,182,steve-alford-1,Steve Alford,1,12,0,4,0,0,70,50,319,22,10,22,10,579,47.86806114,31.36531365,68.87835703,13.16225166,43.79139073,33.59173127,70.19667171,8.286403862,39.54280156,39.05146317,56.94117647,53.86565272,0.103898289,0.08833457773,50.33238367,33.80952381,79.2481203,9.657947686,49.29577465,32.46217331,73.7037037,8.547008547,37.43315508,42.24288205,58.14266487,52.89256198,0.08979372519,0.07546493925,69.1548,68.4029,100.983,107.587,96.9713,95.211,66.2038,66.0567,106.46,112.04,99.3311,97.2467,33.421922,-111.940011,39.552523,-119.82526,,,,,,,,
2023_1116_1228,1116,1228,2023,8,9,41.6,-93.61,Arkansas,Illinois,eric-musselman-1,Eric Musselman,3,6,2,3,0,0,93,41,75,20,13,20,13,203,brad-underwood-1,Brad Underwood,3,7,0,0,0,0,114,78,105,20,12,20,12,223,53.74351371,31.69811321,68.95604396,13.44211344,46.85314685,30.56057866,71.36871508,6.745737583,28.20649282,30.05434783,49.60806271,44.17098446,0.1192449256,0.09427667406,55.3133515,30.89533417,68.01872075,13.99845321,45.32095901,33.56401384,70.2166065,8.0835604,41.86906019,30.89257082,46.72131148,44.74358974,0.09764525568,0.09630764944,70.1147,69.6809,105.743,112.596,95.813,93.9677,69.2852,69.3873,106.287,112.167,96.0045,95.6864,36.06153,-94.178214,39.730827,-90.246256,10,23,10,23,,,,
2023_1116_1242,1116,1242,2023,8,1,36.17,115.14,Arkansas,Kansas,eric-musselman-1,Eric Musselman,3,6,2,3,0,0,93,41,75,20,13,20,13,203,leon-rice-1,Leon Rice,4,4,0,0,0,0,268,154,154,24,9,24,9,268,53.74351371,31.69811321,68.95604396,13.44211344,46.85314685,30.56057866,71.36871508,6.745737583,28.20649282,30.05434783,49.60806271,44.17098446,0.1192449256,0.09427667406,50.66548358,35.95342067,73.92086331,8.150744961,47.76511832,30.98384728,69.33867735,9.494232476,37.87210584,37.37650933,43.03178484,46.03174603,0.07560870192,0.07606973059,70.1147,69.6809,105.743,112.596,95.813,93.9677,67.0127,66.5,105.781,110.97,95.3921,93.8353,36.06153,-94.178214,43.604403,-116.205789,10,,10,,,,,
2023_1120_1234,1120,1234,2023,9,8,39.0997,-94.5783,Auburn,Iowa,bruce-pearl-1,Bruce Pearl,4,12,1,5,1,1,186,110,209,20,12,20,12,417,micah-shrewsberry-1,Micah Shrewsberry,1,1,0,0,0,0,36,30,30,22,13,22,13,36,50.99009901,31.37254902,70.22556391,13.8047138,46.88552189,28.802589,70.53824363,8.580858086,35.36,34.2192691,54.96368039,48.70748299,0.1159886503,0.104208553,53.52380952,38.51851852,73.7704918,6.00624025,48.8299532,33.289987,70.43314501,9.619047619,47.36842105,37.49390541,52.69978402,56.12244898,0.06656442719,0.07222022819,68.6925,67.6101,105.387,112.69,97.2563,95.242,64.5546,64.6095,109.964,116.827,104.26,101.79,32.600201,-85.492409,40.800732,-77.861644,15,,15,,,,,
2023_1124_1364,1124,1364,2023,3,14,39.7392,-104.9903,Baylor,Santa Barbara,scott-drew-1,Scott Drew,11,11,5,5,1,1,421,232,243,22,10,22,10,441,joe-pasternack-1,Joe Pasternack,2,2,0,0,0,0,132,52,106,27,7,27,7,170,50.84241824,37.17026379,74.89051095,6.797853309,53.30948122,32.20588235,70.74468085,9.316154609,45.25230602,37.81979978,56.37910085,60.36809816,0.09767785797,0.09217488005,54.76973684,35.14056225,73.7458194,6.621961442,48.86839899,34.50834879,75.24752475,6.085526316,29.05484247,31.12009238,52.91319857,48.50455137,0.09826076069,0.07298007954,67.8723,66.551,113.141,121.852,103.675,101.871,65.2422,64.9566,109.642,111.335,100.429,104.693,31.545956,-97.119359,34.415462,-119.848071,6,,5,,10,,10,
2023_1163_1116,1163,1116,2023,4,8,36.17,115.14,Connecticut,Arkansas,dan-hurley-1,Dan Hurley,3,5,0,0,0,0,97,55,160,24,8,24,8,248,eric-musselman-1,Eric Musselman,3,6,2,3,0,0,93,41,75,20,13,20,13,203,53.43777198,35.69711538,75.44141252,12.86970424,45.80335731,29.96323529,73.63112392,8.268059182,41.99899041,30.30640669,62.56860593,41.0326087,0.0954574833,0.09722521448,53.74351371,31.69811321,68.95604396,13.44211344,46.85314685,30.56057866,71.36871508,6.745737583,28.20649282,30.05434783,49.60806271,44.17098446,0.1192449256,0.09427667406,68.5693,66.69,114.228,119.437,95.0685,94.0687,70.1147,69.6809,105.743,112.596,95.813,93.9677,41.808215,-72.249537,36.06153,-94.178214,,10,,10,14,,11,
2023_1163_1211,1163,1211,2023,4,3,36.17,115.14,Connecticut,Gonzaga,dan-hurley-1,Dan Hurley,3,5,0,0,0,0,97,55,160,24,8,24,8,248,brad-underwood-1,Brad Underwood,3,7,0,0,0,0,114,78,105,20,12,20,12,223,53.43777198,35.69711538,75.44141252,12.86970424,45.80335731,29.96323529,73.63112392,8.268059182,41.99899041,30.30640669,62.56860593,41.0326087,0.0954574833,0.09722521448,55.3133515,30.89533417,68.01872075,13.99845321,45.32095901,33.56401384,70.2166065,8.0835604,41.86906019,30.89257082,46.72131148,44.74358974,0.09764525568,0.09630764944,68.5693,66.69,114.228,119.437,95.0685,94.0687,69.2852,69.3873,106.287,112.167,96.0045,95.6864,41.808215,-72.249537,39.730827,-90.246256,,23,,23,14,,11,
2023_1163_1233,1163,1233,2023,4,13,42.6525,-73.7572,Connecticut,Iona,dan-hurley-1,Dan Hurley,3,5,0,0,0,0,97,55,160,24,8,24,8,248,rick-pitino-1,Rick Pitino,2,23,0,13,0,7,64,21,292,27,7,27,7,834,53.43777198,35.69711538,75.44141252,12.86970424,45.80335731,29.96323529,73.63112392,8.268059182,41.99899041,30.30640669,62.56860593,41.0326087,0.0954574833,0.09722521448,50.84985836,35.982009,73.13432836,14.71282455,47.04956727,29.21013413,70.18121911,6.515580737,32.08273208,34.55200824,53.34029228,50.62972292,0.107998937,0.07781025777,68.5693,66.69,114.228,119.437,95.0685,94.0687,68.9173,68.8985,110.689,110.856,94.0259,99.1449,41.808215,-72.249537,40.927107,-73.785635,,,,,14,,11,
2023_1163_1274,1163,1274,2023,4,5,36.17,115.14,Connecticut,Miami FL,dan-hurley-1,Dan Hurley,3,5,0,0,0,0,97,55,160,24,8,24,8,248,bryce-drew-1,Bryce Drew,2,5,0,0,0,0,64,26,134,24,11,24,11,228,53.43777198,35.69711538,75.44141252,12.86970424,45.80335731,29.96323529,73.63112392,8.268059182,41.99899041,30.30640669,62.56860593,41.0326087,0.0954574833,0.09722521448,50.53346266,37.55274262,71.47192716,7.955449483,46.77804296,31.97389886,70,8.050436469,40.81515499,32.78074866,47.08121827,43.1122449,0.06910289633,0.08414570369,68.5693,66.69,114.228,119.437,95.0685,94.0687,65.9325,65.1543,108.542,112.316,103.639,106.325,41.808215,-72.249537,33.512172,-112.129917,,,,,14,,11,
2023_1163_1361,1163,1361,2023,4,5,36.17,115.14,Connecticut,San Diego St,dan-hurley-1,Dan Hurley,3,5,0,0,0,0,97,55,160,24,8,24,8,248,leon-rice-1,Leon Rice,4,4,0,0,0,0,268,154,154,24,9,24,9,268,53.43777198,35.69711538,75.44141252,12.86970424,45.80335731,29.96323529,73.63112392,8.268059182,41.99899041,30.30640669,62.56860593,41.0326087,0.0954574833,0.09722521448,50.66548358,35.95342067,73.92086331,8.150744961,47.76511832,30.98384728,69.33867735,9.494232476,37.87210584,37.37650933,43.03178484,46.03174603,0.07560870192,0.07606973059,68.5693,66.69,114.228,119.437,95.0685,94.0687,67.0127,66.5,105.781,110.97,95.3921,93.8353,41.808215,-72.249537,43.604403,-116.205789,,,,,14,,11,
2023_1163_1388,1163,1388,2023,4,5,42.6525,-73.7572,Connecticut,St Mary's CA,dan-hurley-1,Dan Hurley,3,5,0,0,0,0,97,55,160,24,8,24,8,248,randy-bennett-1,Randy Bennett,9,9,1,1,0,0,506,207,207,26,7,26,7,506,53.43777198,35.69711538,75.44141252,12.86970424,45.80335731,29.96323529,73.63112392,8.268059182,41.99899041,30.30640669,62.56860593,41.0326087,0.0954574833,0.09722521448,50.92838196,36.74698795,69.10714286,9.937888199,45.60780834,32.76190476,75.2,10.0795756,36.99164345,31.77966102,48.65853659,36.58892128,0.1054293696,0.07044819628,68.5693,66.69,114.228,119.437,95.0685,94.0687,63.5736,61.7457,110.407,113.469,93.3983,91.573,41.808215,-72.249537,29.451793,-98.564307,,,,,14,16,11,16
2023_1166_1124,1166,1124,2023,6,3,38.25,-85.77,Creighton,Baylor,greg-mcdermott-1,Greg Mcdermott,8,11,1,1,0,0,297,149,280,21,12,21,12,446,brad-korn-1,Brad Korn,1,1,0,0,0,0,44,50,50,19,16,19,16,44,54.52930728,35.98531212,76.73992674,9.478021978,45.6043956,34.14239482,72.92682927,8.348134991,42.0483788,29.79749277,57.81938326,47.08571429,0.07492258721,0.08834802191,50.04156276,33.29145729,71.76470588,8.460918614,50.84609186,35.3372434,69.01072706,7.730673317,39.81990995,35.46541862,51.09573241,50.68807339,0.0887293553,0.09477908407,69.4467,67.9808,109.592,114.621,97.6468,93.9665,73.8049,72.5474,102.664,100.937,103.119,108.149,41.265325,-95.947029,37.31575,-89.529119,9,,9,,22,,24,
2023_1166_1301,1166,1301,2023,6,11,39.7392,-104.9903,Creighton,NC State,greg-mcdermott-1,Greg Mcdermott,8,11,1,1,0,0,297,149,280,21,12,21,12,446,kevin-keatts-1,Kevin Keatts,2,4,0,0,0,0,113,78,106,23,10,23,10,185,54.52930728,35.98531212,76.73992674,9.478021978,45.6043956,34.14239482,72.92682927,8.348134991,42.0483788,29.79749277,57.81938326,47.08571429,0.07492258721,0.08834802191,51.43721634,34.92462312,72.01492537,12.10906175,50.60144346,32.1656051,73.35423197,6.656580938,37.58262512,33.49333333,44.88517745,45.25810324,0.1133058718,0.0726541468,69.4467,67.9808,109.592,114.621,97.6468,93.9665,69.8214,69.1326,111.298,113.894,101.235,100.589,41.265325,-95.947029,35.785111,-78.674517,9,,9,,22,,24,
2023_1166_1343,1166,1343,2023,6,15,38.25,-85.77,Creighton,Princeton,greg-mcdermott-1,Greg Mcdermott,8,11,1,1,0,0,297,149,280,21,12,21,12,446,mitch-henderson-1,Mitch Henderson,2,2,0,0,0,0,206,116,116,21,8,21,8,206,54.52930728,35.98531212,76.73992674,9.478021978,45.6043956,34.14239482,72.92682927,8.348134991,42.0483788,29.79749277,57.81938326,47.08571429,0.07492258721,0.08834802191,53.51812367,33.95348837,71.31630648,8.155699722,47.17330862,33.14176245,68.86993603,9.808102345,40.74542009,32.60462211,47.85020804,43.25513196,0.0667815309,0.08441185506,69.4467,67.9808,109.592,114.621,97.6468,93.9665,68.3492,67.4504,108.055,109.093,99.565,103.527,41.265325,-95.947029,40.348232,-74.664364,9,,9,,22,,24,
2023_1181_1331,1181,1331,2023,5,12,28.4158,-81.2989,Duke,Oral Roberts,jon-scheyer-1,Jon Scheyer,1,1,0,0,0,0,26,8,8,26,8,26,8,26,paul-mills-1,Paul Mills,2,2,1,1,0,0,106,83,83,30,4,30,4,106,51.46245059,33.57348703,76.98675497,12.03776554,46.65617624,30.37790698,76.48305085,9.644268775,35.42623788,35.11995916,56.67420814,47.88029925,0.08654725525,0.09323905333,56.56862745,37.00696056,78.40172786,13.58355675,46.55942806,34.23180593,71.88264059,7.843137255,45.80233794,39.87103708,47.99107143,46.19354839,0.09565995947,0.07115593045,65.7055,65.258,110.245,113.242,96.9333,94.7532,70.7367,70.4974,116.53,115.29,99.0034,102.041,36.00159,-78.94226,36.050705,-95.954215,8,,7,,21,,21,
2023_1192_1345,1192,1345,2023,16,1,29.7604,-95.3698,F Dickinson,Purdue,tobin-anderson-1,Tobin Anderson,1,1,0,0,0,0,19,15,15,19,15,19,15,19,matt-painter-1,Matt Painter,14,15,6,6,0,0,413,197,202,29,5,29,5,438,51.36876006,34.43072702,75.04553734,5.687203791,56.11374408,36.9165488,75.57003257,9.98389694,36.98630137,40.12485812,51.51856018,56.62368113,0.1060978396,0.07979627432,54.57842248,33.7944664,72.58687259,11.32323897,41.21132324,28.05970149,71.44846797,11.42339075,47.84869976,30.60758337,54.76694915,41.76904177,0.08151757228,0.09813765983,69.2648,68.7636,108.88,106.175,108.232,118.425,72.826,72.7469,110.862,116.097,91.7957,88.5548,40.896162,-74.030023,33.2144,-87.545766,,19,,20,,5,,4
2023_1192_1411,1192,1411,2023,16,16,39.7594,-84.1917,F Dickinson,TX Southern,tobin-anderson-1,Tobin Anderson,1,1,0,0,0,0,19,15,15,19,15,19,15,19,johnny-jones-2,Johnny Jones,3,6,0,0,0,0,90,72,306,14,20,14,20,385,51.36876006,34.43072702,75.04553734,5.687203791,56.11374408,36.9165488,75.57003257,9.98389694,36.98630137,40.12485812,51.51856018,56.62368113,0.1060978396,0.07979627432,47.37620103,28.67924528,66.16084977,8.099173554,48.67768595,33.64197531,70.86280057,8.056171471,28.14657461,34.87621098,44.38839849,47.21189591,0.08940043405,0.1062439941,69.2648,68.7636,108.88,106.175,108.232,118.425,70.7468,69.3574,94.0211,96.5062,101.061,106.217,40.896162,-74.030023,29.722468,-95.361961,,,,,,,,
2023_1194_1192,1194,1192,2023,9,16,39.9833,-82.9833,FL Atlantic,F Dickinson,dusty-may-1,Dusty May,1,1,0,0,0,0,97,59,59,31,3,31,3,97,tobin-anderson-1,Tobin Anderson,1,1,0,0,0,0,19,15,15,19,15,19,15,19,54.29104478,37.24550898,71.75843694,6.590724166,44.75183076,32.03125,74.9498998,7.182835821,43.78605139,34.24291065,50.9518477,33.37748344,0.09387446547,0.08123751819,51.36876006,34.43072702,75.04553734,5.687203791,56.11374408,36.9165488,75.57003257,9.98389694,36.98630137,40.12485812,51.51856018,56.62368113,0.1060978396,0.07979627432,68.7232,68.4356,112.947,114.275,94.37,96.0455,69.2648,68.7636,108.88,106.175,108.232,118.425,26.372536,-80.102293,40.896162,-74.030023,,,,,,,,
